,Year,Origin,Dest,NonStopMiles,Passengers
0,2022,ABE,ABI,1458.0,40.0
1,2022,ABE,ABQ,1738.0,870.0
2,2022,ABE,ABY,796.0,180.0
3,2022,ABE,ACV,2518.0,20.0
4,2022,ABE,ADQ,3470.0,10.0
5,2022,ABE,AEX,1151.0,100.0
6,2022,ABE,AGS,618.0,700.0
7,2022,ABE,ALO,887.0,50.0
8,2022,ABE,ALS,1644.0,10.0
9,2022,ABE,AMA,1477.0,30.0
10,2022,ABE,ANC,3330.0,250.0
11,2022,ABE,ASE,1663.0,40.0
12,2022,ABE,ATL,692.0,23650.0
13,2022,ABE,ATW,712.0,620.0
14,2022,ABE,AUS,1441.0,2620.0
15,2022,ABE,AVL,528.0,530.0
16,2022,ABE,AZO,536.0,120.0
17,2022,ABE,BFL,2382.0,20.0
18,2022,ABE,BGR,442.0,10.0
19,2022,ABE,BHM,792.0,1400.0
20,2022,ABE,BIL,1696.0,40.0
21,2022,ABE,BIS,1329.0,20.0
22,2022,ABE,BMI,709.0,90.0
23,2022,ABE,BNA,685.0,15020.0
24,2022,ABE,BOI,2085.0,660.0
25,2022,ABE,BOS,258.0,80.0
26,2022,ABE,BPT,1279.0,10.0
27,2022,ABE,BQK,730.0,60.0
28,2022,ABE,BTM,1886.0,10.0
29,2022,ABE,BTR,1124.0,510.0
30,2022,ABE,BTV,288.0,10.0
31,2022,ABE,BUF,232.0,10.0
32,2022,ABE,BUR,2378.0,60.0
33,2022,ABE,BZN,1822.0,620.0
34,2022,ABE,CAE,558.0,790.0
35,2022,ABE,CGI,796.0,10.0
36,2022,ABE,CHA,659.0,910.0
37,2022,ABE,CHO,237.0,30.0
38,2022,ABE,CHS,592.0,1530.0
39,2022,ABE,CID,850.0,450.0
40,2022,ABE,CIU,596.0,10.0
41,2022,ABE,CLE,339.0,400.0
42,2022,ABE,CLL,1362.0,30.0
43,2022,ABE,CLT,481.0,13760.0
44,2022,ABE,CMH,396.0,820.0
45,2022,ABE,CMI,678.0,20.0
46,2022,ABE,CMX,790.0,10.0
47,2022,ABE,COS,1557.0,480.0
48,2022,ABE,COU,901.0,80.0
49,2022,ABE,CPR,1601.0,20.0
50,2022,ABE,CRP,1537.0,120.0
51,2022,ABE,CRW,364.0,230.0
52,2022,ABE,CSG,770.0,240.0
53,2022,ABE,CVG,503.0,1330.0
54,2022,ABE,CWA,777.0,150.0
55,2022,ABE,DAB,852.0,840.0
56,2022,ABE,DAL,1300.0,230.0
57,2022,ABE,DAY,467.0,430.0
58,2022,ABE,DBQ,800.0,40.0
59,2022,ABE,DEC,711.0,10.0
60,2022,ABE,DEN,1539.0,2700.0
61,2022,ABE,DFW,1307.0,4190.0
62,2022,ABE,DHN,852.0,100.0
63,2022,ABE,DLH,938.0,150.0
64,2022,ABE,DRO,1748.0,30.0
65,2022,ABE,DRT,1633.0,10.0
66,2022,ABE,DSM,951.0,160.0
67,2022,ABE,DSM,952.0,980.0
68,2022,ABE,DTW,425.0,6570.0
69,2022,ABE,EAR,1234.0,40.0
70,2022,ABE,EAU,865.0,20.0
71,2022,ABE,ECP,917.0,890.0
72,2022,ABE,EGE,1659.0,100.0
73,2022,ABE,ELP,1821.0,580.0
74,2022,ABE,EUG,2422.0,100.0
